OBJECTID,Line,Sample,X,Y,Mark,Status,GPSStat,Time_ms_,Time_hhmmss_sss_,PowerLn,ResLayer_1,ResLayer_2,ResLayer_3,ResLayer_4,ResLayer_5,ThiLayer_1,ThiLayer_2,ThiLayer_3,ThiLayer_4,FitError___
1,1,41144,617569.82,4613617.5,135,0,1,75253749.3,205413.7493,1.9,166.835,1031.093,11.813,620.188,2000,0.2,0.2,1.339,1.316,26.21
2,1,41145,617569.79,4613617.54,135,0,1,75253849.3,205413.8493,2.1,170.476,1034.08,3.701,623.245,2000,0.2,0.634,0.968,0.71,30.25
3,1,41146,617569.76,4613617.57,135,0,1,75253949.3,205413.9493,2.1,170.49,1034.11,3.715,623.25,1999.973,0.2,0.878,0.783,0.709,31.22
4,1,41147,617569.73,4613617.61,135,0,1,75254049.3,205414.0493,2,114.517,833.636,2.462,524.942,2000,0.2,0.2,0.2,0.235,26.09
5,1,41148,617569.71,4613617.65,135,0,1,75254149.3,205414.1493,2.2,97.168,810.675,6.106,522.524,1770.392,0.233,1.083,6,0.446,20.23
6,1,41149,617569.68,4613617.68,135,0,1,75254249.3,205414.2493,2.2,98.163,812.118,4.658,522.544,1774.524,0.232,1.01,2.894,0.444,32.74
7,1,41150,617569.65,4613617.72,135,0,1,75254349.3,205414.3493,2.1,101.448,851.262,3.971,533.814,1884.684,0.2,0.2,0.455,0.263,34.23
8,1,41151,617569.62,4613617.76,135,0,1,75254449.3,205414.4493,2.2,78.459,800.974,2.643,511.178,2000,0.2,0.2,0.2,0.2,23.97
9,1,41152,617569.59,4613617.79,135,0,1,75254549.3,205414.5493,2.1,78.169,800.837,2.624,511.212,2000,0.2,0.2,0.2,0.2,26.45
10,1,41153,617569.56,4613617.83,135,0,1,75254649.3,205414.6493,2,103.283,889.195,1.033,510.504,1917.598,0.2,2.329,0.658,0.243,19.6
11,1,41154,617569.54,4613617.86,135,0,1,75254749.3,205414.7493,2.2,91.531,846.227,2.413,510.494,1914.178,0.22,2.55,6,0.243,37.38
12,1,41155,617569.51,4613617.9,135,0,1,75254849.3,205414.8493,2.1,89.805,840.696,3.023,510.492,1913.935,0.224,2.586,6,0.243,38
13,1,41156,617569.48,4613617.94,135,0,1,75254949.3,205414.9493,2.1,74.073,785.349,2.947,537.508,2000,0.2,0.2,0.2,0.2,24.44
14,1,41157,617569.46,4613617.97,135,0,1,75255049.3,205415.0493,2.2,70.811,783.792,2.735,537.898,2000,0.2,0.2,0.2,0.2,21.23
15,1,41158,617569.46,4613617.98,135,0,1,75255149.3,205415.1493,2.1,58.164,777.788,2.106,539.211,2000,0.2,0.2,0.2,0.2,21.77
16,1,41159,617569.46,4613618,135,0,1,75255249.3,205415.2493,2.1,57.665,777.553,2.077,539.271,2000,0.2,0.2,0.2,0.2,20.77
17,1,41160,617569.46,4613618.02,135,0,1,75255349.3,205415.3493,2.2,57.678,777.568,2.093,539.287,2000,0.2,0.2,0.2,0.2,20.8
18,1,41161,617569.46,4613618.04,135,0,1,75255449.3,205415.4493,2.2,52.372,769.094,2.45,536.778,1810.298,0.223,0.238,0.2,0.4,27.65
19,1,41162,617569.46,4613618.06,135,0,1,75255549.3,205415.5493,2.2,42.86,764.569,1.809,538.917,2000,0.2,0.2,0.2,0.256,32.28
20,1,41163,617569.46,4613618.08,135,0,1,75255649.3,205415.6493,2.2,32.518,729.312,3.25,510.455,1714.089,0.258,1.943,6,0.767,32.57
21,1,41164,617569.46,4613618.1,135,0,1,75255749.3,205415.7493,2.2,30.891,725.541,3.497,510.44,1713.658,0.27,2.632,6,0.769,50.08
22,1,41165,617569.46,4613618.11,135,0,1,75255849.3,205415.8493,2.2,65.396,2000,3.23,764.931,1880.96,0.2,6,0.2,0.2,57.17
23,1,41166,617569.46,4613618.13,135,0,1,75255949.3,205415.9493,2.2,228.255,2000,11.275,829.104,2000,0.2,6,0.2,0.2,31.97
24,1,41171.5,617569.46,4613618.14,135,0,1,75256499.3,205416.0493,2.19,242.744,1986.719,3.296,774.871,1989.827,0.2,2.52,1.818,0.535,30.45
25,1,41177,617569.46,4613618.15,135,0,1,75257049.3,205417.0493,2.2,373.914,2000,2.232,825.839,2000,0.2,6,0.257,0.2,74.72
26,1,41178,617569.46,4613618.17,135,0,1,75257149.3,205417.1493,2.3,1037.373,2000,7.79,872.267,2000,0.2,6,0.2,0.2,37.96
27,1,41179,617569.46,4613618.19,135,0,1,75257249.3,205417.2493,2.2,1037.373,2000,7.79,872.267,2000,0.2,6,0.2,0.2,64.85
28,1,41180,617569.46,4613618.21,135,0,1,75257349.3,205417.3493,2.2,1180.164,1999.891,5.968,866.432,1915.976,0.2,1.79,6,0.277,26.75
29,1,41181,617569.46,4613618.22,135,0,1,75257449.3,205417.4493,2.2,1003.436,1886.58,4.105,890.553,2000,0.2,0.2,0.2,0.2,27.67
30,1,41182,617569.46,4613618.24,135,0,1,75257549.3,205417.5493,2.1,973.979,1872.775,3.194,893.712,2000,0.2,0.2,0.2,0.2,24.04
31,1,41183,617569.46,4613618.26,135,0,1,75257649.3,205417.6493,2.3,973.935,1872.742,3.167,893.696,1999.999,0.2,0.2,0.383,0.2,40.24
32,1,41184,617569.46,4613618.28,135,0,1,75257749.3,205417.7493,2.1,999.585,1943.588,1.292,893.665,1945.688,0.212,2.234,0.773,0.201,24.85
33,1,41185,617569.46,4613618.3,135,0,1,75257849.3,205417.8493,2.1,953.263,1809.334,4.135,893.498,1752.175,0.216,1.887,2.298,0.204,24.62
34,1,41186,617569.46,4613618.32,135,0,1,75257949.3,205417.9493,2.1,951.58,1804.246,4.888,893.495,1750.924,0.217,2.177,6,0.204,33.88
35,1,41191.5,617569.46,4613618.33,135,0,1,75258499.3,205418.0493,2.31,1184.961,2000,4.505,917.168,2000,0.2,6,0.2,0.2,63.69
36,1,41197,617569.44,4613618.34,135,0,1,75259049.3,205419.0493,2.3,2000,2000,15.725,970.491,2000,0.249,6,0.2,0.2,45.39
37,1,41198,617569.42,4613618.38,135,0,1,75259149.3,205419.1493,2.3,970.771,979.194,8.223,1260.04,2000,0.2,0.2,0.33,0.2,18.96
38,1,41199,617569.39,4613618.42,135,0,1,75259249.3,205419.2493,2.6,307.382,315.124,2.604,1431.15,2000,0.2,0.2,0.2,0.2,15.14
39,1,41200,617569.36,4613618.45,135,0,1,75259349.3,205419.3493,2.4,276.189,293.235,3.91,1436.621,2000,0.201,0.357,0.2,0.2,20.74
40,1,41201,617569.33,4613618.49,135,0,1,75259449.3,205419.4493,2.3,264.281,283.137,4.776,1367.18,2000,0.217,2.641,0.2,0.328,32.14
41,1,41202,617569.3,4613618.53,135,0,1,75259549.3,205419.5493,2.3,100.094,126.016,3.674,994.116,1764.055,0.21,0.2,0.33,3.639,26.18
42,1,41203,617569.27,4613618.56,135,0,1,75259649.3,205419.6493,2.4,85.169,118.761,2.584,1031.47,2000,0.2,0.2,0.2,0.594,59.33
43,1,41204,617569.25,4613618.6,135,0,1,75259749.3,205419.7493,2.4,177.846,300.917,8.58,1150.017,2000,0.2,4.017,0.2,0.2,26.86
44,1,41205,617569.22,4613618.64,135,0,1,75259849.3,205419.8493,2.3,121.054,248.888,3.763,883.427,1902.389,0.294,0.86,3.566,5.913,48.41
45,1,41206,617569.19,4613618.67,135,0,1,75259949.3,205419.9493,2.4,127.012,255.523,3.805,889.435,1913.29,0.284,0.457,0.463,4.109,67.94
46,1,41207,617569.18,4613618.7,135,0,1,75260049.3,205420.0493,2.3,99.487,209.72,4.788,1002.046,1903.001,0.248,0.274,0.2,0.883,20.89
47,1,41208,617569.17,4613618.72,135,0,1,75260149.3,205420.1493,2.3,99.487,209.72,4.788,1002.046,1903.001,0.248,0.274,0.2,0.883,20.63
48,1,41209,617569.17,4613618.74,135,0,1,75260249.3,205420.2493,2.4,99.487,209.72,4.788,1002.046,1903.001,0.248,0.274,0.2,0.883,21.68
49,1,41210,617569.17,4613618.76,135,0,1,75260349.3,205420.3493,2.4,260.512,539.521,16.713,1735.239,2000,0.203,3.336,0.2,0.2,20.32
50,1,41211,617569.17,4613618.78,135,0,1,75260449.3,205420.4493,2.3,909.275,1883.113,47.761,2000,2000,0.2,6,0.2,0.2,62.7
51,1,41212,617569.17,4613618.79,135,0,1,75260549.3,205420.5493,2.4,337.658,762.106,33.657,1540.353,1902.459,0.2,0.2,4.017,1.898,26.12
52,1,41213,617569.17,4613618.81,135,0,1,75260649.3,205420.6493,2.4,338.226,762.809,35.382,1538.648,1809.675,0.204,0.33,6,1.965,63.59
53,1,41214,617569.17,4613618.83,135,0,1,75260749.3,205420.7493,2.4,510.205,1312.256,20.868,1623.399,1999.707,0.2,3.663,2.232,1.048,64.39
54,1,41215,617569.17,4613618.85,135,0,1,75260849.3,205420.8493,2.4,706.292,1876.815,26.796,1757.323,2000,0.2,6,0.2,0.2,56.87
55,1,41216,617569.17,4613618.87,135,0,1,75260949.3,205420.9493,2.4,780.574,2000,88.964,2000,2000,0.2,6,0.2,0.544,34.42
56,1,41221,617569.17,4613618.88,135,0,2,75266182.63,205421.0493,2.422222222,780.574,2000,88.964,2000,2000,0.2,6,0.2,0.544,27.75
57,1,41226,617569.15,4613618.88,135,0,2,75276149.3,205436.1493,2.5,2000,2000,188.337,2000,2000,0.239,6,0.2,3.639,55.22
58,1,41227,617569.14,4613618.88,135,0,2,75276249.3,205436.2493,2.4,2000,2000,188.337,2000,2000,0.239,6,0.2,3.639,22.17
59,1,41228,617569.12,4613618.88,135,0,2,75276349.3,205436.3493,2.4,893.958,889.562,93.526,1539.497,1902.459,0.2,0.2,6,4.027,47.54
60,1,41229,617569.11,4613618.88,135,0,2,75276449.3,205436.4493,2.4,1350.353,1808.623,70.957,1910.884,1902.459,0.262,6,2.207,0.317,62.71
61,1,41230,617569.1,4613618.88,135,0,2,75276549.3,205436.5493,2.5,2000,2000,166.014,2000,2000,0.377,6,0.2,0.2,35.85
62,1,41231,617569.08,4613618.88,135,0,2,75276649.3,205436.6493,2.4,752.234,815.52,70.957,1790.228,1902.459,0.2,0.2,4.017,0.33,32.57
63,1,41232,617569.07,4613618.88,135,0,2,75276749.3,205436.7493,2.4,596.595,669.073,26.104,1620.279,2000,0.2,0.2,3.639,0.894,41.23
64,1,41233,617569.05,4613618.88,135,0,2,75276849.3,205436.8493,2.5,567.499,636.442,27.442,1541.257,1902.459,0.2,0.2,6,1.474,53.8
65,1,41234,617569.04,4613618.87,135,0,2,75276949.3,205436.9493,2.4,1359.568,1525.697,11.441,2000,2000,0.21,6,0.423,0.4,54.14
66,1,41235,617569.03,4613618.87,135,0,2,75277049.3,205437.0493,2.6,1821.762,2000,12.968,2000,1926.342,0.202,6,0.256,0.657,40.85
67,1,41236,617569.03,4613618.85,135,0,2,75277149.3,205437.1493,2.4,1339.176,1441.721,8.852,1804.071,1769.024,0.2,0.2,0.818,0.333,23.37
68,1,41237,617569.03,4613618.83,135,0,2,75277249.3,205437.2493,2.5,1325.286,1432.698,5.523,1804.717,1683.709,0.2,0.2,0.617,0.333,22.96
69,1,41238,617569.03,4613618.81,135,0,2,75277349.3,205437.3493,2.5,1188.798,1372.596,2.482,1810.66,2000,0.2,0.2,0.2,0.336,18.71
70,1,41239,617569.03,4613618.79,135,0,2,75277449.3,205437.4493,2.5,1176.115,1366.708,2.032,1813.293,2000,0.2,0.2,0.2,0.329,23.51
71,1,41240,617569.04,4613618.77,135,0,2,75277549.3,205437.5493,2.5,1181.092,1392.636,0.87,1812.707,1754.241,0.209,2.862,1.59,0.33,31.76
72,1,41241,617569.04,4613618.75,135,0,2,75277649.3,205437.6493,2.5,1119.203,1142.332,2.747,1812.599,1705.006,0.21,3.54,3.666,0.33,32.76
73,1,41242,617569.04,4613618.74,135,0,2,75277749.3,205437.7493,2.5,1171.617,1248.878,3.236,1818.612,2000,0.2,0.2,0.2,0.327,21.1
74,1,41243,617569.04,4613618.72,135,0,2,75277849.3,205437.8493,2.5,1152.91,1240.143,2.45,1822.521,2000,0.2,0.2,0.2,0.317,20.73
75,1,41244,617569.04,4613618.7,135,0,2,75277949.3,205437.9493,2.5,1152.955,1240.194,2.504,1822.601,2000,0.2,0.2,0.2,0.317,17.5
76,1,41245,617569.03,4613618.69,135,0,2,75278049.3,205438.0493,2.4,1138.134,1232.066,2.966,1822.969,1810.157,0.2,0.22,0.2,0.319,29.55
77,1,41246,617569.02,4613618.69,135,0,2,75278149.3,205438.1493,2.5,1853.503,2000,7.295,1974.026,2000,0.276,6,0.2,0.493,29.41
78,1,41247,617569,4613618.69,135,0,2,75278249.3,205438.2493,2.4,1853.503,2000,7.295,1974.026,2000,0.276,6,0.2,0.493,33.64
79,1,41248,617568.99,4613618.69,135,0,2,75278349.3,205438.3493,2.5,1973.982,2000,24.222,2000,2000,0.343,6,0.2,0.488,23.03
80,1,41249,617568.97,4613618.69,135,0,2,75278449.3,205438.4493,2.5,2000,2000,84.542,2000,2000,0.384,6,0.2,0.491,33.54
81,1,41250,617568.96,4613618.69,135,0,2,75278549.3,205438.5493,2.5,1691.886,1645.145,65.841,1616.821,1379.176,0.403,0.2,6,0.415,71.21
82,1,41251,617568.95,4613618.69,135,0,2,75278649.3,205438.6493,2.5,1871.518,1786.88,20.569,1615.658,1558.072,0.477,3.724,6,0.421,67.3
83,1,41252,617568.93,4613618.69,135,0,2,75278749.3,205438.7493,2.5,2000,2000,71.794,2000,2000,0.497,6,0.2,0.2,31.84
84,1,41253,617568.92,4613618.69,135,0,2,75278849.3,205438.8493,2.4,1686.478,1724.118,30.811,1722.607,1369.941,0.452,0.2,6,0.2,47.11
85,1,41254,617568.9,4613618.69,135,0,2,75278949.3,205438.9493,2.4,1185.173,1213.601,30.811,1697.794,956.038,0.295,0.2,6,0.2,48.75
86,1,41255,617568.89,4613618.68,135,0,2,75279049.3,205439.0493,2.4,1185.173,1213.601,30.811,1697.794,956.038,0.295,0.2,6,0.2,50.32
87,1,41256,617568.88,4613618.66,135,0,2,75279149.3,205439.1493,2.5,612.31,635.725,29.309,940.73,2000,0.2,0.2,3.639,6,40.14
88,1,41257,617568.86,4613618.64,135,0,2,75279249.3,205439.2493,2.5,337.376,372.815,19.646,573.985,1743.34,0.2,0.2,1.339,4.23,40.25
89,1,41258,617568.85,4613618.62,135,0,2,75279349.3,205439.3493,2.5,290.383,320.885,22.826,494.034,1500.506,0.2,0.2,6,6,61.85
90,1,41259,617568.84,4613618.6,135,0,2,75279449.3,205439.4493,2.5,290.383,320.885,22.826,494.034,1500.506,0.2,0.2,6,6,52.08
91,1,41260,617568.82,4613618.58,135,0,2,75279549.3,205439.5493,2.5,290.383,320.885,22.826,494.034,1500.506,0.2,0.2,6,6,46.71
92,1,41261,617568.81,4613618.57,135,0,2,75279649.3,205439.6493,2.5,767.654,1019.869,12.736,897.728,2000,0.21,6,0.493,0.2,38.5
93,1,41262,617568.8,4613618.55,135,0,2,75279749.3,205439.7493,2.5,840.102,1191.414,3.659,897.378,2000,0.2,3.335,2.022,0.203,39.98
94,1,41263,617568.78,4613618.53,135,0,2,75279849.3,205439.8493,2.5,797.205,1128.061,5.358,897.321,1924.625,0.203,1.43,6,0.204,24.22
95,1,41264,617568.77,4613618.51,135,0,2,75279949.3,205439.9493,2.5,830.055,1238.512,1.535,897.388,1994.597,0.201,2.785,0.99,0.202,42.23
96,1,41275,617568.76,4613618.5,135,0,2,75281049.28,205440.0493,2.5,812.543,1181.573,4.679,897.356,1967.227,0.202,1.621,6,0.203,22.63
97,1,41286,617568.74,4613618.5,135,0,2,75282149.2,205442.1492,2.5,1513.19,2000,14.055,1110.522,2000,0.211,6,0.2,0.2,27.79
98,1,41287,617568.73,4613618.5,135,0,2,75282249.2,205442.2492,2.5,1521.883,2000,42.225,2000,2000,0.374,6,0.2,0.2,41.01
99,1,41288,617568.71,4613618.5,135,0,2,75282349.2,205442.3492,2.5,2000,2000,103.856,2000,2000,0.412,6,0.2,4.017,31.02
100,1,41289,617568.7,4613618.5,135,0,2,75282449.2,205442.4492,2.5,2000,2000,114.778,2000,2000,0.412,6,0.2,6,48.57
101,1,41290,617568.69,4613618.5,135,0,2,75282549.2,205442.5492,2.5,1594.343,1550.516,93.972,1265.663,1264.799,0.413,0.2,6,4.125,68.45
102,1,41291,617568.67,4613618.5,135,0,2,75282649.2,205442.6492,2.5,1594.343,1550.516,93.972,1265.663,1264.799,0.413,0.2,6,4.125,69.33
103,1,41292,617568.66,4613618.5,135,0,2,75282749.2,205442.7492,2.5,864.967,1061.571,40.165,1237.537,1846.591,0.2,0.2,3.639,2.45,49.7
104,1,41293,617568.64,4613618.5,135,0,2,75282849.2,205442.8492,2.5,676.281,845.005,24.361,994.303,1198.569,0.2,0.2,6,6,53.79
105,1,41294,617568.63,4613618.5,135,0,2,75282949.2,205442.9492,2.5,599.672,783.893,8.571,1075.064,1797.227,0.2,0.2,1.098,0.732,23.84
106,1,41295,617568.62,4613618.49,135,0,2,75283049.2,205443.0492,2.5,581.977,771.459,6.772,1079.392,1939.373,0.2,0.2,0.794,0.576,21
107,1,41296,617568.6,4613618.47,135,0,2,75283149.2,205443.1492,2.5,800.336,1343.347,4.149,1593.563,1809.675,0.221,6,0.208,0.2,76.09
108,1,41297,617568.59,4613618.45,135,0,2,75283249.2,205443.2492,2.5,800.336,1343.347,4.149,1593.563,1809.675,0.221,6,0.208,0.2,63.3
109,1,41298,617568.58,4613618.43,135,0,2,75283349.2,205443.3492,2.5,795.696,1325.512,4.218,1593.299,1779.302,0.221,2.409,6,0.2,61.33
110,1,41299,617568.56,4613618.41,135,0,2,75283449.2,205443.4492,2.5,836.492,1393.472,4.434,1515.593,1692.524,0.211,1.461,6,0.33,50.57
111,1,41300,617568.55,4613618.39,135,0,2,75283549.2,205443.5492,2.5,2000,2000,13.905,1552.872,2000,0.212,6,0.2,0.2,35.97
112,1,41301,617568.54,4613618.38,135,0,2,75283649.2,205443.6492,2.5,1983.312,1895.3,8.388,1550.418,1857.057,0.2,0.2,2.411,0.207,27.07
113,1,41302,617568.52,4613618.36,135,0,2,75283749.2,205443.7492,2.5,1983.492,1894.898,3.764,1550.58,2000,0.2,0.2,0.897,0.206,21.51
114,1,41303,617568.51,4613618.34,135,0,2,75283849.2,205443.8492,2.5,1548.643,1535.72,3.32,1164.333,2000,0.2,0.2,0.33,2.073,29.61
115,1,41304,617568.49,4613618.32,135,0,2,75283949.2,205443.9492,2.5,1528.318,1526.019,2.34,1193.31,2000,0.2,0.2,0.2,0.498,17.98
116,1,41309.5,617568.49,4613618.31,135,0,2,75284499.2,205444.0492,2.5,1523.112,1513.409,3.53,1192.577,1893.756,0.217,2.083,6,0.519,32.67
117,1,41315,617568.49,4613618.3,135,0,2,75285049.2,205445.0492,2.5,1528.136,1526.494,1.011,1192.591,1895.974,0.217,2.276,2.052,0.518,63.69
118,1,41316,617568.49,4613618.28,135,0,2,75285149.2,205445.1492,2.5,1579.843,1695.948,0.305,1192.912,1930.982,0.217,3.07,0.504,0.509,49.24
119,1,41317,617568.49,4613618.26,135,0,2,75285249.2,205445.2492,2.5,1579.629,1695.335,0.334,1192.95,1931.279,0.217,1.48,0.2,0.508,63.15
120,1,41318,617568.49,4613618.25,135,0,2,75285349.2,205445.3492,2.5,1744.092,1867.381,0.436,1079.996,1749.641,0.201,6,0.2,1.358,53.14
121,1,41319,617568.49,4613618.23,135,0,2,75285449.2,205445.4492,2.6,1742.959,1862.66,0.483,1080.271,1750.77,0.201,6,0.2,1.346,22.49
122,1,41320,617568.49,4613618.21,135,0,2,75285549.2,205445.5492,2.6,1716.472,1760.157,0.885,1055.288,1391.295,0.201,0.31,0.2,4.208,23.72
123,1,41321,617568.49,4613618.19,135,0,2,75285649.2,205445.6492,2.6,1713.929,1758.849,1.102,964.185,1197.681,0.2,0.228,0.2,5.996,67.53
124,1,41322,617568.49,4613618.17,135,0,2,75285749.2,205445.7492,2.5,1713.474,1758.74,1.161,925.49,1139.152,0.208,1.306,0.423,6,49.85
125,1,41323,617568.49,4613618.15,135,0,2,75285849.2,205445.8492,2.5,1709.443,1753.512,1.379,871.738,1021.908,0.2,0.2,0.2,5.973,22.58
126,1,41339.5,617568.49,4613618.13,135,0,2,75287499.2,205445.9492,2.540625,1709.101,1753.496,1.452,828.998,971.863,0.21,1.504,0.464,6,23.43
127,1,41356,617568.48,4613618.13,135,0,2,75289149.2,205449.1492,2.5,1696.692,1741.529,2.256,627.542,709.412,0.201,0.313,0.2,5.99,32.31
128,1,41357,617568.47,4613618.13,135,0,2,75289249.2,205449.2492,2.5,1320.382,1355.952,3.445,467.177,526.049,0.201,0.315,0.2,5.981,42.82
129,1,41358,617568.46,4613618.13,135,0,2,75289349.2,205449.3492,2.5,1319.29,1353.834,5.832,446.862,475.414,0.212,0.652,6,6,45.28
130,1,41359.5,617568.45,4613618.14,135,0,2,75289499.2,205449.4492,2.5,1319.29,1353.834,5.832,446.862,475.414,0.212,0.652,6,6,68.78
131,1,41361.5,617567.98,4613618.29,135,0,2,75295399.2,205455.3492,2.35,1266.139,1306.463,5.417,477.69,526.858,0.219,0.2,0.635,3.172,30.59
132,1,41363,617567.97,4613618.29,135,0,2,75295549.2,205455.5492,2.5,1279.621,1327.667,2.59,489.483,730.196,0.234,1.297,0.825,1.443,27.08
133,1,41364,617567.96,4613618.29,135,0,2,75295649.2,205455.6492,2.6,1311.611,1409.431,1.283,492.661,857.065,0.234,2.276,0.671,0.947,19.89
134,1,41365,617567.95,4613618.3,135,0,2,75295749.2,205455.7492,2.5,1293.743,1353.081,2.32,492.425,847.163,0.234,2.778,3.052,0.98,20.86
135,1,41366.5,617567.94,4613618.3,135,0,2,75295899.2,205455.8492,2.6,1328.123,1461.767,0.665,492.799,862.173,0.234,3.323,1.007,0.926,25.16
136,1,41368,617567.93,4613618.3,135,0,2,75296049.2,205456.0492,2.4,1319.25,1436.918,0.739,492.308,835.282,0.233,0.878,0.203,1.002,47.63
137,1,41369,617567.93,4613618.31,135,0,2,75296149.2,205456.1492,2.5,1313.044,1431.951,1.037,455.783,650.781,0.217,0.322,0.2,5.972,40.34
138,1,41370,617567.92,4613618.31,135,0,2,75296249.2,205456.2492,2.5,1313.095,1431.998,1.038,455.535,650.558,0.218,1.081,0.254,6,35.66
139,1,41371.5,617567.92,4613618.32,135,0,2,75296399.2,205456.3492,2.55,1302.466,1398.212,2.619,453.777,647.769,0.219,2.04,6,6,40.44
140,1,41373.5,617567.91,4613618.33,135,0,2,75296599.2,205456.5492,2.5,1299.336,1391.427,5.402,452.265,644.68,0.218,0.923,6,6,52.08
141,1,41375,617567.81,4613618.46,135,0,2,75299549.2,205459.5492,2.6,1299.336,1391.427,5.402,452.265,644.68,0.218,0.923,6,6,66.93
142,1,41376.5,617567.8,4613618.47,135,0,2,75299699.2,205459.6492,2.5,1304.741,1399.615,5.495,455.666,650.092,0.215,0.34,0.812,4.891,35.44
143,1,41378,617567.8,4613618.48,135,0,2,75299849.2,205459.8492,2.4,1316.076,1432.955,1.902,433.825,605.441,0.222,2.417,1.621,3.964,25.42
144,1,41399,617567.79,4613618.48,135,0,2,75301949.2,205459.9492,2.451219512,1429.76,1747.457,0.582,449.115,1297.101,0.22,2.311,0.265,0.439,17.98
145,1,41420,617567.79,4613618.49,135,0,2,75304049.2,205504.0492,2.4,1361.59,1477.97,1.649,449.151,1318.641,0.221,3.669,3.145,0.434,43.23
146,1,41421,617567.79,4613618.51,135,0,2,75304149.2,205504.1492,2.4,1351.702,1446.779,3.663,449.125,1313.754,0.221,2.005,6,0.437,38.62
147,1,41422,617567.79,4613618.53,135,0,2,75304249.2,205504.2492,2.5,1350.207,1442.77,4.459,449.12,1312.277,0.221,1.83,5.176,0.438,38.95
148,1,41423,617567.79,4613618.55,135,0,2,75304349.2,205504.3492,2.5,1348.497,1438.439,4.687,449.111,1310.875,0.221,1.848,6,0.439,44.38
149,1,41424,617567.79,4613618.57,135,0,2,75304449.2,205504.4492,2.5,1779.257,2000,4.213,477.563,2000,0.2,6,0.2,0.2,62.32
150,1,41425,617567.79,4613618.59,135,0,2,75304549.2,205504.5492,2.4,1598.279,1797.364,4.48,435.19,2000,0.2,0.2,0.2,0.243,39.18
151,1,41426,617567.79,4613618.6,135,0,2,75304649.2,205504.6492,2.4,1228.022,1391.546,3.525,343.802,2000,0.2,0.2,0.33,0.584,27.45
152,1,41427,617567.79,4613618.62,135,0,2,75304749.2,205504.7492,2.5,1228.022,1391.546,3.525,343.802,2000,0.2,0.2,0.33,0.584,32.53
153,1,41428,617567.79,4613618.64,135,0,2,75304849.2,205504.8492,2.4,1217.245,1387.168,4.402,324.478,1768.374,0.217,2.015,5.44,2.8,19.46
154,1,41429,617567.79,4613618.66,135,0,2,75304949.2,205504.9492,2.4,1216.531,1385.148,4.828,324.441,1768.069,0.217,2.258,6,2.838,22.54
155,1,41434.5,617567.79,4613618.67,135,0,2,75305499.2,205505.0492,2.41,1249.894,1490.065,1.386,326.932,1820.079,0.216,2.826,1.006,1.014,20.37
156,1,41440,617567.79,4613618.68,135,0,2,75306049.2,205506.0492,2.4,1240.313,1455.98,2.491,326.836,1816.082,0.216,2.786,4.849,1.056,43.62
157,1,41441,617567.79,4613618.7,135,0,2,75306149.2,205506.1492,2.4,1236.548,1443.766,3.741,326.807,1814.788,0.216,2.333,6,1.07,39.51
158,1,41442,617567.79,4613618.72,135,0,2,75306249.2,205506.2492,2.4,1207.878,1437.21,2.876,334.562,2000,0.2,0.2,0.2,0.2,22.85
159,1,41443,617567.79,4613618.73,135,0,2,75306349.2,205506.3492,2.5,1504.043,2000,4.451,390.412,2000,0.205,6,0.2,0.2,44.24
160,1,41444,617567.79,4613618.75,135,0,2,75306449.2,205506.4492,2.4,1881.954,1902.459,15.535,558.612,2000,0.299,6,0.2,0.2,23.79
161,1,41445,617567.79,4613618.77,135,0,2,75306549.2,205506.5492,2.4,2000,2000,54.221,1681.118,2000,0.466,6,0.2,0.2,28.35
162,1,41446,617567.79,4613618.79,135,0,2,75306649.2,205506.6492,2.5,2000,2000,73.191,2000,2000,0.466,6,0.2,0.544,22.47
163,1,41447,617567.79,4613618.81,135,0,2,75306749.2,205506.7492,2.4,2000,2000,80.888,2000,2000,0.466,6,0.2,0.544,22.29
164,1,41448,617567.79,4613618.83,135,0,2,75306849.2,205506.8492,2.5,2000,2000,133.362,1902.459,2000,0.466,6,0.33,0.896,26.91
165,1,41449,617567.78,4613618.84,135,0,2,75306949.2,205506.9492,2.4,2000,2000,296.803,2000,2000,0.569,6,0.2,0.533,55.46
166,1,41454.5,617567.78,4613618.85,135,0,2,75307499.2,205507.0492,2.44,1454.556,1463.098,231.15,1208.349,1084.878,0.574,0.2,6,0.2,88.19
167,1,41460,617567.79,4613618.85,135,0,2,75308049.2,205508.0492,2.5,1454.556,1463.098,231.15,1208.349,1084.878,0.574,0.2,6,0.2,88.3
168,1,41461,617567.81,4613618.85,135,0,2,75308149.2,205508.1492,2.5,1454.556,1463.098,231.15,1208.349,1084.878,0.574,0.2,6,0.2,87.95
169,1,41462,617567.82,4613618.85,135,0,2,75308249.2,205508.2492,2.4,493.952,628.665,66.226,1202.371,2000,0.2,0.2,6,0.2,31.26
170,1,41463,617567.83,4613618.86,135,0,2,75308349.2,205508.3492,2.4,223.759,295.721,19.218,1219.814,2000,0.2,0.2,1.079,0.2,18.25
171,1,41464,617567.85,4613618.86,135,0,2,75308449.2,205508.4492,2.5,755.114,1004.955,49.692,2000,2000,0.2,6,0.2,0.2,34.05
172,1,41465,617567.86,4613618.86,135,0,2,75308549.2,205508.5492,2.3,1952.505,2000,128.489,2000,2000,0.21,6,0.2,4.017,27.21
173,1,41466,617567.87,4613618.86,135,0,2,75308649.2,205508.6492,2.5,2000,2000,191.682,2000,2000,0.442,6,0.2,1.339,54.23
