LineName,X,Y,Z
line 8,617584.578,4613700.126,208.25
line 8,617583.88,4613691.897,209.15
line 8,617585.16,4613684.921,210.31
line 8,617584.556,4613681.135,208.72
line 8,617584.135,4613676.353,208.9
line 8,617583.299,4613671.453,209.24
line 8,617581.964,4613666.545,209.11
line 8,617580.605,4613663.08,208.7
line 8,617580.169,4613659.186,208.65
line 8,617580.09,4613653.854,208.39
line 8,617579.746,4613649.406,208.05
line 8,617579.14,4613645.731,207.74
line 8,617579.529,4613637.297,207.4
line 8,617579.019,4613632.846,206.84
line 8,617578.431,4613628.061,207.27
line 8,617577.666,4613623.94,206.63
line 8,617576.828,4613619.151,205.94
line 8,617575.989,4613614.472,205.3
