LineName,X,Y,Z
line 3,617634.783,4613599.111,215.23
line 3,617633.643,4613602.646,215.73
line 3,617633.995,4613606.539,217.28
line 3,617633.383,4613608.306,218.16
line 3,617631.826,4613611.834,218.12
line 3,617631.142,4613618.042,217.82
line 3,617630.375,4613624.137,218.52
line 3,617630.654,4613627.474,218.57
line 3,617630.082,4613631.907,218.58
line 3,617629.913,4613637.123,218.72
line 3,617629.279,4613640.223,218.54
line 3,617629.202,4613644.886,219.49
line 3,617627.702,4613650.081,220.0
line 3,617627.113,4613655.513,219.63
line 3,617626.274,4613660.941,219.59
line 3,617625.279,4613665.811,219.59
