LineName,X,Y,Z
line 2,617629.821,4613668.107,218.69
line 2,617630.292,4613664.783,218.18
line 2,617632.113,4613660.37,218.52
line 2,617632.859,4613655.496,218.11
line 2,617632.992,4613652.5,217.91
line 2,617633.83,4613647.072,217.55
line 2,617634.741,4613642.311,217.15
line 2,617634.593,4613636.09,216.78
line 2,617635.252,4613631.436,213.67
line 2,617636.002,4613626.34,216.17
line 2,617637.159,4613621.805,215.52
line 2,617637.903,4613617.042,215.7
line 2,617638.22,4613612.938,214.62
line 2,617639.734,4613606.966,214.27
line 2,617640.473,4613602.536,214.71
line 2,617640.698,4613598.986,214.74
