LineName,X,Y,Z
line 6,617606.943,4613671.841,209.44
line 6,617607.119,4613666.18,209.79
line 6,617606.574,4613663.839,209.53
line 6,617606.115,4613661.388,208.97
line 6,617605.608,4613656.715,208.3
line 6,617604.695,4613651.48,208.49
line 6,617604.8,4613645.041,208.44
line 6,617604.374,4613640.592,208.13
line 6,617604.264,4613637.147,207.6
line 6,617603.672,4613632.584,207.56
line 6,617603.732,4613628.92,207.08
line 6,617603.812,4613624.035,206.7
line 6,617603.958,4613620.262,206.12
line 6,617604.115,4613615.711,205.96
line 6,617603.609,4613611.038,205.32
line 6,617603.081,4613607.698,205.32
