LineName,X,Y,Z
line 9,617567.935,4613618.116,206.66
line 9,617567.935,4613618.116,206.66
line 9,617567.835,4613624.223,208.88
line 9,617568.502,4613629.231,208.68
line 9,617569.265,4613633.464,208.2
line 9,617569.363,4613637.686,208.08
line 9,617569.692,4613643.022,209.03
line 9,617570.211,4613646.917,209.14
line 9,617570.684,4613653.588,209.6
line 9,617569.683,4613658.792,210.1
line 9,617570.218,4613661.688,210.8
line 9,617569.885,4613666.791,210.99
line 9,617570.656,4613670.579,211.05
line 9,617570.753,4613674.801,211.05
line 9,617570.988,4613680.802,211.56
line 9,617572.227,4613686.486,211.51
line 9,617572.75,4613690.16,212.2
line 9,617571.855,4613693.921,212.37
line 9,617572.682,4613699.376,212.41
line 9,617573.239,4613706.049,212.32
line 9,617573.653,4613711.275,212.31
line 9,617574.23,4613716.726,212.41
