LineName,X,Y,Z
line 5,617611.537,4613604.949,206.43
line 5,617612.378,4613609.516,204.7
line 5,617612.96,4613614.634,205.03
line 5,617612.661,4613617.628,205.0
line 5,617612.881,4613624.517,205.0
line 5,617612.827,4613627.848,205.0
line 5,617612.815,4613633.622,205.91
line 5,617613.474,4613639.186,205.91
line 5,617613.549,4613644.74,206.08
line 5,617613.545,4613650.071,206.08
line 5,617613.715,4613654.96,207.08
line 5,617613.642,4613659.401,207.46
line 5,617614.085,4613662.851,209.23
line 5,617614.02,4613666.848,209.23
line 5,617613.896,4613669.289,209.23
