LineName,X,Y,Z
line 7,617583.476,4613609.82,208.32
line 7,617583.399,4613609.485,207.37
line 7,617583.688,4613612.155,207.46
line 7,617582.502,4613618.466,207.45
line 7,617583.437,4613622.368,207.36
line 7,617586.75,4613633.639,206.39
line 7,617587.593,4613638.095,206.39
line 7,617587.198,4613641.865,206.39
line 7,617587.795,4613646.095,206.5
line 7,617588.213,4613651.099,207.35
line 7,617588.392,4613655.433,206.91
line 7,617588.968,4613660.885,208.06
line 7,617588.962,4613666.326,208.01
line 7,617590.374,4613671.68,209.06
line 7,617589.955,4613676.893,208.95
line 7,617590.476,4613680.677,209.2
line 7,617590.816,4613685.347,209.73
line 7,617592.415,4613689.371,209.84
line 7,617593.98,4613695.505,208.98
line 7,617594.358,4613697.844,209.16
