profile_id,profile_number,start_mark_inclusive,end_mark_exclusive
profile_01,1,3,18.0
profile_02,2,18,34.0
profile_03,3,34,50.0
profile_04,4,50,65.0
profile_05,5,65,81.0
profile_06,6,81,98.0
profile_07,7,98,117.0
profile_08,8,117,146.0
profile_09,9,146,
