Line,Sample,X,Y,Mark,Status,GPSStat,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1410Hz,Q_1410Hz,I_4350Hz,Q_4350Hz,I_13530Hz,Q_13530Hz,I_42150Hz,Q_42150Hz,QSum
0,60,617646.15,4613605.13,0,0,2,71020927.3,194340.9273,1.8,-795,510.235,44.7527,-57.1,-151,540.574,112.549,1577.69,1516.9,4449.15,7020.58
0,61,617646.15,4613605.14,0,0,2,71021027.3,194341.0273,1.8,-750,444.611,72.0808,-67.4,-130,490.209,244.996,1551.85,1489.51,4494.88,6914.16
0,62,617646.17,4613605.12,0,0,2,71021127.3,194341.1273,1.7,-750,371.735,93.5302,-33.5,-168,446.432,16.8352,1651.29,1504.28,4578.58,7014.5
0,63,617646.18,4613605.1,0,0,2,71021227.3,194341.2273,1.8,-690,403.86,-38.2,-79,-91,466.647,-94.1,1781.59,1498.69,4580.49,7153.56
0,64,617646.2,4613605.09,0,0,2,71021327.3,194341.3273,1.8,-642,519.962,-113,-75.9,-136,475.088,-2.18,1658.53,1574.76,4486.47,7064.2
0,65,617646.21,4613605.07,0,0,2,71021427.3,194341.4273,1.8,-645,391.836,28.7181,-27.6,-167,500.421,44.7652,1641.21,1604.66,4459.13,6965.03
0,66,617646.22,4613605.05,0,0,2,71021527.3,194341.5273,1.8,-699,432.423,59.4382,-14,-117,447.481,111.357,1745.63,1560.32,4431.9,7043.44
0,67,617646.24,4613605.03,0,0,2,71021627.3,194341.6273,1.7,-694,456.999,-9.55,-38.9,-83.1,423.984,18.7771,1772.81,1533.68,4356.69,6971.55
0,68,617646.25,4613605.01,0,0,2,71021727.3,194341.7273,1.7,-677,431.663,32.2619,-63.6,-113,417.818,21.5509,1598.88,1483.91,4481.02,6865.82
0,69,617646.27,4613605,0,0,2,71021827.3,194341.8273,1.8,-675,398.833,41.0593,30.6582,-114,505.424,101.046,1405.25,1502.22,4562.91,6903.09
0,70,617646.28,4613604.98,0,0,2,71021927.3,194341.9273,1.7,-727,344.967,-5.47,-55.2,-64.9,626.837,114.553,1528.13,1545.29,4540.45,6985.2
0,71,617646.29,4613604.97,0,0,2,71022027.3,194342.0273,1.8,-754,379.399,-3.19,-59.6,-111,478.261,36.1436,1609.68,1546.48,4469.5,6877.23
0,72,617646.29,4613604.99,0,0,2,71022127.3,194342.1273,1.8,-730,482.148,3.01728,-18.6,-153,469.931,29.2697,1599.81,1610.09,4258.13,6791.41
0,73,617646.29,4613605.01,0,0,2,71022227.3,194342.2273,1.7,-683,484.484,-31.2,7.84371,-143,481.738,40.1041,1555.62,1668.49,4386.9,6916.59
0,74,617646.29,4613605.02,0,0,2,71022327.3,194342.3273,1.8,-662,482.8,-89.5,-31.8,-137,385.687,2.12019,1598.07,1654.98,4520.38,6955.14
0,75,617646.29,4613605.04,0,0,2,71022427.3,194342.4273,1.7,-688,460.962,13.1535,-54.3,-159,388.297,61.669,1658.3,1608.2,4503.06,6956.29
0,76,617646.29,4613605.06,0,0,2,71022527.3,194342.5273,1.8,-722,441.555,60.6851,-98.2,-190,508.176,106.954,1655.12,1560.81,4533.19,7039.88
0,77,617646.29,4613605.08,0,0,2,71022627.3,194342.6273,1.8,-685,402.3,59.776,-59,-177,468.506,151.42,1605.67,1551.71,4414.84,6832.31
0,78,617646.29,4613605.1,0,0,2,71022727.3,194342.7273,1.8,-677,394.236,11.3747,-7.76,-163,397.388,141.462,1559.28,1550.95,4400.16,6743.32
0,79,617646.29,4613605.12,0,0,2,71022827.3,194342.8273,1.8,-673,410.324,-63,19.9517,-157,456.073,-2.79,1584.67,1573.18,4535.73,7006.75
0,80,617646.29,4613605.14,0,0,2,71022927.3,194342.9273,1.8,-708,434.105,-10.8,6.00679,-205,483.075,-41.1,1517.81,1652.33,4500.77,6941.77
0,105.5,617646.28,4613605.15,0,0,2,71025477.3,194343.0273,1.75,-739,429.789,9.836549999999999,-18.31593,-205.5,431.263,158.0135,1390.795,1588.235,4477.57,6711.115
0,82,617646.27,4613605.15,0,0,2,71023127.3,194343.1273,1.7,-627,436.949,86.8541,23.7928,-163,422.279,190.938,1545.22,1703.7,4415.33,6843.57
0,106,617646.26,4613605.15,0,0,2,71025527.3,194343.2273,1.7,-699,452.5245,21.17125,1.1401200000000005,-120,469.72450000000003,137.02345,1534.25,1573.885,4555.5599999999995,7013.195
0,105.5,617646.24,4613605.15,0,0,2,71025477.3,194343.3273,1.75,-681,490.352,44.2481,7.312100000000001,-172.5,426.85749999999996,42.1135,1634.08,1530.105,4479.165,7037.764999999999
0,85,617646.23,4613605.15,0,0,2,71023427.3,194343.4273,1.8,-724,507.805,29.2184,14.2625,-205,434.662,-26,1542.33,1461.21,4420.68,6919.74
0,105.5,617646.21,4613605.15,0,0,2,71025477.3,194343.5273,1.75,-671.5,481.505,-43.360855,-1.04745,-181.5,479.0505,-7.64965,1702.45,1580.115,4412.110000000001,7074.07
0,87,617646.2,4613605.15,0,0,2,71023627.3,194343.6273,1.7,-610,420.499,79.8938,28.7238,-159,516.103,-80.7,1631.7,1560.81,4578.68,7175.7
0,106,617646.19,4613605.15,0,0,2,71025527.3,194343.7273,1.7,-654.5,443.1805,-52.30035,-8.0282,-158,458.09299999999996,0.7725000000000009,1720.6100000000001,1593.88,4479.9,7093.735
0,105.5,617646.17,4613605.15,0,0,2,71025477.3,194343.8273,1.75,-671.5,478.0325,-91.3,-46.5,-138.5,459.0745,-64.10665,1743.725,1555.275,4538.695,7173.030000000001
0,90,617646.16,4613605.15,0,0,2,71023927.3,194343.9273,1.8,-753,413.78,-59.5,-14.2,-125,423.478,-39.3,1667.35,1508.32,4573.93,7064.32
0,113.91666666666667,617646.15,4613605.15,0,0,2,71026318.96666665,194344.0273,1.75,-701.0833333,454.4760833333333,-13.94911333,-20.88094,-164.8333333,448.2379090909091,51.84524727272728,1668.0716666666667,1519.0054545454548,4462.848888888889,7049.9725
0,92,617646.15,4613605.17,0,0,2,71024127.3,194344.1273,1.8,-716,460.696,41.0541,-61.4,-169,432.667,179.856,1729.64,1509.52,4483.33,7044.91
0,93,617646.15,4613605.19,0,0,2,71024227.3,194344.2273,1.8,-709,462.718,79.0716,-83,-138,442.944,245.4,1666.21,1501.5,4523.28,7012.16
0,94,617646.15,4613605.21,0,0,2,71024327.3,194344.3273,1.8,-732,509.785,30.7313,-70.9,-164,338.844,122.301,1689.15,1468.79,4601.3,7068.17
0,100.5,617646.15,4613605.23,0,0,2,71024977.3,194344.4273,1.8,-717.5,464.06050000000005,-24.4,9.85478,-120.7,391.534,-41.5,1607.545,1653.245,4560.514999999999,7033.505
0,96,617646.15,4613605.24,0,0,2,71024527.3,194344.5273,1.8,-641,472.943,-56.8,43.2102,-122,487.795,-72.2,1644.04,1530.84,4418.48,7066.47
0,97,617646.15,4613605.26,0,0,2,71024627.3,194344.6273,1.8,-650,433.937,-18.4,19.093,-130,493.63,-77.2,1542.86,1490.02,4334.41,6823.94
0,98,617646.15,4613605.28,0,0,2,71024727.3,194344.7273,1.8,-667,394.262,-30.3,-25,-167,498.617,12.3733,1597.15,1557.2,4429.67,6894.74
