48
# x y z
0.000	0.000	0.000000
2.000	0.000	0.000000
4.000	0.000	0.000000
6.000	0.000	0.000000
8.000	0.000	0.000000
10.000	0.000	0.000000
12.000	0.000	0.000000
14.000	0.000	0.000000
16.000	0.000	0.000000
18.000	0.000	0.000000
20.000	0.000	0.000000
22.000	0.000	0.000000
24.000	0.000	0.000000
26.000	0.000	0.000000
28.000	0.000	0.000000
30.000	0.000	0.000000
32.000	0.000	0.000000
34.000	0.000	0.000000
36.000	0.000	0.000000
38.000	0.000	0.000000
40.000	0.000	0.000000
42.000	0.000	0.000000
44.000	0.000	0.000000
46.000	0.000	0.000000
48.000	0.000	0.000000
50.000	0.000	0.000000
52.000	0.000	0.000000
54.000	0.000	0.000000
56.000	0.000	0.000000
58.000	0.000	0.000000
60.000	0.000	0.000000
62.000	0.000	0.000000
64.000	0.000	0.000000
66.000	0.000	0.000000
68.000	0.000	0.000000
70.000	0.000	0.000000
72.000	0.000	0.000000
74.000	0.000	0.000000
76.000	0.000	0.000000
78.000	0.000	0.000000
80.000	0.000	0.000000
82.000	0.000	0.000000
84.000	0.000	0.000000
86.000	0.000	0.000000
88.000	0.000	0.000000
90.000	0.000	0.000000
92.000	0.000	0.000000
94.000	0.000	0.000000
178
# a b m n rhoa err k
1	4	2	3	36.101692	0.067900	12.566371
1	7	3	5	2.645552	1.495200	25.132741
1	10	4	7	8.726646	1.298100	37.699112
1	16	6	11	7.784477	1.305200	62.831853
1	19	7	13	4.501386	3.511900	75.398224
1	22	8	15	2.932153	3.049900	87.964594
1	25	9	17	12.345908	1.334200	100.530965
2	5	3	4	23.362830	0.058400	12.566371
2	8	4	6	9.973310	0.579400	25.132741
2	11	5	8	4.629715	1.244700	37.699112
2	14	6	10	1.689596	2.154000	50.265482
2	23	9	16	2.907920	2.498100	87.964594
2	29	11	20	3.899908	2.705500	113.097336
3	6	4	5	27.868278	0.527700	12.566371
3	9	5	7	10.944903	0.344200	25.132741
3	12	6	9	7.539822	1.630800	37.699112
3	15	7	11	1.914876	3.887500	50.265482
3	18	8	13	3.695991	1.670800	62.831853
3	24	10	17	2.907920	2.297900	87.964594
3	27	11	19	3.436956	1.887200	100.530965
3	30	12	21	3.427192	3.288900	113.097336
3	33	13	23	4.370912	2.296200	125.663706
4	7	5	6	28.532339	0.075300	12.566371
4	10	6	8	15.906798	0.045800	25.132741
4	13	7	10	8.755923	1.099600	37.699112
4	16	8	12	9.284707	0.086200	50.265482
4	19	9	14	2.060061	2.681400	62.831853
4	22	10	16	7.594066	0.996600	75.398224
4	25	11	18	2.606358	2.443100	87.964594
4	28	12	20	2.851942	2.593700	100.530965
4	31	13	22	5.140788	1.549700	113.097336
5	8	6	7	21.952363	0.233700	12.566371
5	11	7	9	12.093951	0.223400	25.132741
5	14	8	11	13.423169	1.127200	37.699112
5	17	9	13	7.486348	0.588800	50.265482
5	23	11	17	6.235943	1.728200	75.398224
5	26	12	19	6.961227	1.256500	87.964594
5	29	13	21	2.978695	2.330800	100.530965
5	32	14	23	3.036170	2.512000	113.097336
5	35	15	25	3.723369	2.540300	125.663706
6	9	7	8	24.765303	0.163400	12.566371
6	12	8	10	7.774877	0.356200	25.132741
6	15	9	12	13.659098	0.960200	37.699112
6	18	10	14	7.936655	0.546500	50.265482
6	21	11	16	5.711987	1.017900	62.831853
6	24	12	18	7.761582	1.399600	75.398224
6	27	13	20	2.443461	2.764800	87.964594
6	30	14	22	3.093260	2.529800	100.530965
6	33	15	24	6.233711	1.619600	113.097336
7	10	8	9	22.348575	0.204000	12.566371
7	13	9	11	14.234473	3.632800	25.132741
7	16	10	13	14.541086	1.135200	37.699112
7	19	11	15	8.444601	0.592600	50.265482
7	22	12	17	3.164194	1.579300	62.831853
7	25	13	19	9.170054	0.591200	75.398224
7	28	14	21	2.314858	3.232200	87.964594
7	31	15	23	9.981798	0.936600	100.530965
8	11	9	10	31.415927	0.074300	12.566371
8	14	10	12	17.114200	0.061500	25.132741
8	17	11	14	17.233880	0.352400	37.699112
8	20	12	16	11.388273	0.471300	50.265482
8	23	13	18	10.066982	0.525000	62.831853
8	26	14	20	14.447564	0.223200	75.398224
8	29	15	22	10.802669	0.812000	87.964594
8	32	16	24	4.511005	1.798200	100.530965
8	35	17	26	10.844950	0.983000	113.097336
9	12	10	11	19.530865	0.090200	12.566371
9	15	11	13	13.944618	0.096200	25.132741
9	18	12	15	12.188435	1.065400	37.699112
9	21	13	17	7.649095	0.614900	50.265482
9	24	14	19	11.810499	0.488500	62.831853
9	27	15	21	9.625305	0.977100	75.398224
10	13	11	12	21.249874	0.063200	12.566371
10	16	12	14	12.161004	0.146800	25.132741
10	19	13	16	13.659098	1.460000	37.699112
10	22	14	18	7.124242	0.443100	50.265482
10	25	15	20	6.151370	1.015100	62.831853
10	31	17	24	12.179713	0.817100	87.964594
10	34	18	26	2.831858	3.421400	100.530965
10	37	19	28	6.884186	1.419800	113.097336
10	40	20	30	3.989324	2.572400	125.663706
11	14	12	13	24.275943	0.177000	12.566371
11	17	13	15	14.608406	0.044900	25.132741
11	20	14	17	11.832568	1.297900	37.699112
11	23	15	19	10.180351	0.180700	50.265482
11	26	16	21	13.463969	0.365900	62.831853
11	29	17	23	15.960208	0.078800	75.398224
11	32	18	25	2.299728	2.580000	87.964594
11	35	19	27	7.372271	1.426300	100.530965
11	38	20	29	10.626595	1.201100	113.097336
12	15	13	14	23.204946	0.050700	12.566371
12	18	14	16	13.659098	0.239600	25.132741
12	21	15	18	17.740759	0.776500	37.699112
12	24	16	20	13.866340	0.555200	50.265482
12	27	17	22	16.084954	0.288400	62.831853
12	30	18	24	6.854384	1.000900	75.398224
12	33	19	26	4.398230	1.435200	87.964594
12	36	20	28	3.191459	2.122500	100.530965
12	42	22	32	3.957912	2.305600	125.663706
13	16	14	15	20.305923	0.243900	12.566371
13	19	15	17	10.520682	0.352100	25.132741
13	22	16	19	8.936086	1.047000	37.699112
13	25	17	21	6.462705	0.752700	50.265482
13	28	18	23	3.054326	1.798100	62.831853
13	31	19	25	5.759587	1.277300	75.398224
13	34	20	27	2.748894	2.549300	87.964594
14	17	15	16	22.168367	0.083800	12.566371
14	20	16	18	9.040554	0.483100	25.132741
14	23	17	20	12.083049	0.724700	37.699112
14	26	18	22	10.723303	0.250900	50.265482
14	29	19	24	9.953561	1.302800	62.831853
14	32	20	26	6.429306	1.277600	75.398224
14	35	21	28	6.408017	1.476700	87.964594
14	38	22	30	2.935211	2.715200	100.530965
14	41	23	32	3.254600	2.370700	113.097336
14	44	24	34	4.021239	2.374000	125.663706
15	18	16	17	28.290782	0.060400	12.566371
15	21	17	19	15.279564	0.092800	25.132741
15	24	18	21	13.514776	0.805800	37.699112
15	27	19	23	15.047629	0.212200	50.265482
15	30	20	25	3.164194	1.772900	62.831853
15	33	21	27	11.473643	0.751700	75.398224
15	39	23	31	2.978695	2.413300	100.530965
16	19	17	18	16.597093	0.098700	12.566371
16	22	18	20	14.793322	0.068800	25.132741
16	25	19	22	14.996332	0.775800	37.699112
16	28	20	24	12.144680	0.358000	50.265482
16	31	21	26	10.638197	0.216300	62.831853
16	34	22	28	13.181508	0.367300	75.398224
16	37	23	30	10.215243	0.761800	87.964594
16	40	24	32	2.978695	2.450400	100.530965
16	43	25	34	3.077479	2.205600	113.097336
16	46	26	36	3.779360	2.152400	125.663706
17	20	18	19	17.673992	0.052700	12.566371
17	23	19	21	12.736186	0.513600	25.132741
