longitude,latitude,elevation_m
-91.584485,41.664957,211.162
-91.58449499999999,41.664979,212.469
-91.58451,41.665002,210.155
-91.584513,41.665026,211.778
-91.584518,41.665058,211.078
-91.584524,41.665095,211.713
-91.584531,41.665134,211.144
-91.584538,41.665164,212.142
-91.584553,41.665203,210.985
-91.58456,41.665246,211.368
-91.58457,41.665278,212.021
-91.584576,41.665314,211.909
-91.584588,41.665355,212.161
-91.58460199999999,41.665388,212.123
-91.584614,41.665428,212.357
