profile_id,point_id,x_utm_m,y_utm_m,source_elevation_m,elevation_m,elevation_source,crs,source_file
profile_09,profile_09_point_01,617567.935000,4613618.116000,206.660000,206.660000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_02,617567.935000,4613618.116000,206.660000,206.660000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_03,617567.835000,4613624.223000,208.880000,208.880000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_04,617568.502000,4613629.231000,208.680000,208.680000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_05,617569.265000,4613633.464000,208.200000,208.200000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_06,617569.363000,4613637.686000,208.080000,208.080000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_07,617569.692000,4613643.022000,209.030000,209.030000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_08,617570.211000,4613646.917000,209.140000,209.140000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_09,617570.684000,4613653.588000,209.600000,209.600000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_10,617569.683000,4613658.792000,210.100000,210.100000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_11,617570.218000,4613661.688000,210.800000,210.800000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_12,617569.885000,4613666.791000,210.990000,210.990000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_13,617570.656000,4613670.579000,211.050000,211.050000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_14,617570.753000,4613674.801000,211.050000,211.050000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_15,617570.988000,4613680.802000,211.560000,211.560000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_16,617572.227000,4613686.486000,211.510000,211.510000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_17,617572.750000,4613690.160000,212.200000,212.200000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_18,617571.855000,4613693.921000,212.370000,212.370000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_19,617572.682000,4613699.376000,212.410000,212.410000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_20,617573.239000,4613706.049000,212.320000,212.320000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_21,617573.653000,4613711.275000,212.310000,212.310000,provided_in_source,EPSG:26915,location_line 9.txt
profile_09,profile_09_point_22,617574.230000,4613716.726000,212.410000,212.410000,provided_in_source,EPSG:26915,location_line 9.txt
